eid	doctype	pubyear	source_id	volume	issue	page-start	page-end
52449095225	cp	2008	1.2100157187E10			704	708
52649113122	ar	2008	145676.0	50	3	201	211
52649122722	ar	2008	19887.0	48	3	391	397
52649123166	ar	2008	20297.0	17	19	4233	4247
52649142713	ar	2008	20220.0	190	19	6524	6529
52649167707	ar	2008	22781.0		38	4628	4630
52649171428	ar	2008	25075.0	17	7	605	615
52749089127	ar	2008	28805.0	8	6	373	381
52949105348	ar	2008	144862.0	9	4	400	404
52949112248	ar	2008	26514.0	49	46	6543	6546
52949140853	ar	2008	4.400151742E9	4			
53049090543	re	2008	17592.0	283	35	23497	23504
53049094861	ar	2008	29259.0	57	5	331	339
53149113408	ar	2008	15375.0	22	8	1285	1296
53149124388	cp	2008	1.2200154713E10			555	560
53149133139	ar	2008	5.100154503E9	9	3	367	387
53149137114	re	2008	24769.0	11	10	14	23
53249113374	ar	2008	24804.0	21	8	1094	1104
53249117363	ar	2008	15112.0	53	11	2274	2286
53349108482	cp	2008	1.2100157217E10	1		202	205
53549124957	ar	2008	19873.0	38	10	632	639
53649102505	ar	2008	26991.0	33	20	5312	5325
53749100399	ar	2008	23402.0	104	4	701	710
53849102199	ar	2008	30046.0	39	2	141	150
53849108164	ar	2008	25677.0	35	4	903	916
53949112256	ar	2008	23269.0	32	5	396	406
54049106956	ar	2008	16764.0	28	40	10056	10061
54049109188	ar	2008	12792.0	57	3-4	183	198
54049114220	ar	2008	16595.0	27	11	1705	1711
54049118117	cp	2008	1.2300154903E10			1125	1128
54049150459	cp	2008	1.2300154903E10			273	276
54049153545	ar	2008	14222.0	29	11	1878	1886
54149104615	ar	2008	1.2400154704E10	34	1	54	64
54249083235	ar	2008	1.2400154704E10	34	2	166	177
54249167169	ar	2008	110157.0	78	8		
54349083876	ar	2008	23796.0		614	1	52
54349101200	ar	2008	24437.0	67	3	413	429
54349128048	ar	2008	25266.0	15	3	523	546
54749085876	ar	2008	1.1200153562E10	2	2	1	12
54749156968	ar	2008	22687.0	47	39	7511	7514
54849140200	re	2008	29451.0	13	6	481	489
54849413232	re	2008	12014.0	39	2	177	191
54849421852	ar	2008	27542.0	66	1	1	6
54949086679	ar	2008	25799.0	89	11	960	968
54949097364	ar	2008	33328.0	23	1	163	173
54949105741	ar	2008	15481.0	34	5	1288	1304
54949131818	ar	2008	1.1800154589E10	7	5	647	662
54949147626	ar	2008	145657.0	26	1	3	42
55049098069	ar	2008	25776.0	191	1	144	153
55049108519	ar	2008	24021.0	66	5	553	555
55049125839	re	2008	28250.0	46	10	39	44
55049127287	ar	2008	16688.0	20	10	1915	1925
55049136498	ar	2008	29161.0	63	6	647	660
